week,category,weekly_rank,show_title,season_title,runtime,weekly_views,imdb_tconst
2023-10-15,TV (Non-English),6,Stranded with my Mother-in-Law,1.0,3.5333,1800000.0,tt27494436
2023-10-15,TV (Non-English),7,Dear Child,1.0,4.8167,1700000.0,tt20863760
2023-10-15,TV (Non-English),8,Destined with You,1.0,17.3,1700000.0,tt27974068
2023-10-15,TV (Non-English),9,SPY x FAMILY,2.0,0.7833,1500000.0,tt13706018
2023-10-15,TV (Non-English),10,DI4RIES,2.0,3.5833,1300000.0,tt20449034
2023-10-08,Films (English),1,Reptile,,2.2667,19900000.0,tt13274016
2023-10-08,Films (English),2,Fair Play,,1.9167,12600000.0,tt16304446
2023-10-08,Films (English),3,Love is in the Air,,1.4833,7200000.0,tt28073548
2023-10-08,Films (English),4,Life of a King,,1.6833,6300000.0,tt2708254
2023-10-08,Films (English),5,Infinite,,1.7667,4900000.0,tt6654210
2023-10-08,Films (English),6,Mean Girls,,1.6167,4500000.0,tt0377092
2023-10-08,Films (English),7,Spy Kids: Armageddon,,1.6333,4300000.0,tt13978520
2023-10-08,Films (English),8,Last Vegas,,1.75,4100000.0,tt1204975
2023-10-08,Films (English),9,Identity Thief,,1.85,3900000.0,tt2024432
2023-10-08,Films (English),10,The Black Book,,2.0667,3700000.0,tt24083908
2023-10-08,Films (Non-English),1,Nowhere,,1.8167,29900000.0,tt15789472
2023-10-08,Films (Non-English),2,Forgotten Love,,2.3333,10500000.0,tt26596953
2023-10-08,Films (Non-English),3,Ballerina,,1.5667,10100000.0,tt0048979
2023-10-08,Films (Non-English),4,Overhaul,,1.6667,5000000.0,tt16427938
2023-10-08,Films (Non-English),5,Khufiya,,2.65,5000000.0,tt15433600
2023-10-08,Films (Non-English),6,"Ice Cold: Murder, Coffee and Jessica Wongso",,1.4333,2700000.0,tt28840429
2023-10-08,Films (Non-English),7,OMG 2,,2.5833,2400000.0,tt15732324
2023-10-08,Films (Non-English),8,Street Flow 2,,1.6333,2100000.0,tt27045321
2023-10-08,Films (Non-English),9,Jaane Jaan,,2.3167,1900000.0,tt15748830
2023-10-08,Films (Non-English),10,A Deadly Invitation,,1.55,1700000.0,tt13022120
2023-10-08,TV (English),1,Beckham,1.0,4.75,12400000.0,tt14524712
2023-10-08,TV (English),2,Sex Education,4.0,8.1,6600000.0,tt7767422
2023-10-08,TV (English),3,Love Is Blind,5.0,8.7667,3700000.0,tt2620890
2023-10-08,TV (English),4,ONE PIECE,1.0,7.5667,2500000.0,tt11737520
2023-10-08,TV (English),5,Encounters,1.0,3.3833,2000000.0,tt31308366
2023-10-08,TV (English),6,Virgin River,5.0,7.65,2000000.0,tt9077530
2023-10-08,TV (English),7,Castlevania: Nocturne,1.0,3.7,1800000.0,tt14833612
2023-10-08,TV (English),8,Murdaugh Murders: A Southern Scandal,2.0,1.7833,1800000.0,tt26340238
2023-10-08,TV (English),9,Who Killed Jill Dando?,1.0,2.3167,1600000.0,tt26445771
2023-10-08,TV (English),10,The Great British Baking Show,11.0,2.2333,1600000.0,tt1877368
2023-10-08,TV (Non-English),1,Lupin,3.0,5.5167,11600000.0,tt1018841
2023-10-08,TV (Non-English),2,Lupin,1.0,3.9833,3500000.0,tt1018841
2023-10-08,TV (Non-English),3,Dear Child,1.0,4.8167,3000000.0,tt20863760
2023-10-08,TV (Non-English),4,Lupin,2.0,3.7833,2700000.0,tt1018841
2023-10-08,TV (Non-English),5,Strong Girl Nam-soon,1.0,0.0,1600000.0,tt29225198
2023-10-08,TV (Non-English),6,The Devil's Plan,1.0,9.7833,1500000.0,tt27995115
2023-10-08,TV (Non-English),7,Destined with You,1.0,15.2,1500000.0,tt27974068
2023-10-08,TV (Non-English),8,Burning Body,1.0,6.5667,1300000.0,tt22073352
2023-10-08,TV (Non-English),9,Song of the Bandits,1.0,8.6333,1000000.0,tt21627436
2023-10-08,TV (Non-English),10,Thursday's Widows,1.0,4.4667,1000000.0,tt27787857
2023-10-01,Films (English),1,Reptile,,2.2667,17700000.0,tt13274016
