country_name,country_iso2,week,category,weekly_rank,show_title,season_title,imdb_tconst
Argentina,AR,2021-09-26,TV,3,Sex Education,1.0,tt7767422
Argentina,AR,2021-09-26,Films,4,The Starling,,tt5164438
Argentina,AR,2021-09-26,TV,4,Midnight Mass,1.0,tt10574558
Argentina,AR,2021-09-26,Films,5,The Equalizer 2,,tt3766354
Argentina,AR,2021-09-26,TV,5,Lucifer,6.0,tt4052886
Argentina,AR,2021-09-26,Films,6,The Stronghold,,tt15001026
Argentina,AR,2021-09-26,TV,6,The Snitch Cartel: Origins,1.0,tt14417802
Argentina,AR,2021-09-26,Films,7,Man on Fire,,tt0328107
Argentina,AR,2021-09-26,TV,7,Money Heist,5.0,tt6468322
Argentina,AR,2021-09-26,Films,8,My Little Pony: A New Generation,,tt10101702
Argentina,AR,2021-09-26,TV,8,Clickbait,1.0,tt33909895
Argentina,AR,2021-09-26,Films,9,First Kill,,tt5884234
Argentina,AR,2021-09-26,TV,9,Sex Education,2.0,tt7767422
Argentina,AR,2021-09-26,Films,10,Schumacher,,tt10322274
Argentina,AR,2021-09-26,TV,10,Pasión de Gavilanes,1.0,tt0387763
Argentina,AR,2021-10-03,Films,1,The Guilty,,tt9421570
Argentina,AR,2021-10-03,TV,1,Squid Game,1.0,tt10919420
Argentina,AR,2021-10-03,Films,2,The Starling,,tt5164438
Argentina,AR,2021-10-03,TV,2,Sex Education,3.0,tt7767422
Argentina,AR,2021-10-03,Films,3,My Little Pony: A New Generation,,tt10101702
Argentina,AR,2021-10-03,TV,3,The Chestnut Man,1.0,tt10834220
Argentina,AR,2021-10-03,Films,4,No One Gets Out Alive,,tt13056008
Argentina,AR,2021-10-03,TV,4,Maid,1.0,tt11337908
Argentina,AR,2021-10-03,Films,5,Sounds Like Love,,tt11698662
Argentina,AR,2021-10-03,TV,5,Grey's Anatomy,17.0,tt0413573
Argentina,AR,2021-10-03,Films,6,The Marksman,,tt6902332
Argentina,AR,2021-10-03,TV,6,Midnight Mass,1.0,tt10574558
Argentina,AR,2021-10-03,Films,7,Britney Vs Spears,,tt15469820
Argentina,AR,2021-10-03,TV,7,Ganglands,1.0,tt13278100
Argentina,AR,2021-10-03,Films,8,Friendzone,,tt30401982
Argentina,AR,2021-10-03,TV,8,Alice in Borderland,1.0,tt10795658
Argentina,AR,2021-10-03,Films,9,Intrusion,,tt12362822
Argentina,AR,2021-10-03,TV,9,Pasión de Gavilanes,1.0,tt0387763
Argentina,AR,2021-10-03,Films,10,The Equalizer 2,,tt3766354
Argentina,AR,2021-10-03,TV,10,"Yo soy Betty, la fea",1.0,tt0233127
Argentina,AR,2021-10-10,Films,1,The Guilty,,tt9421570
Argentina,AR,2021-10-10,TV,1,Squid Game,1.0,tt10919420
Argentina,AR,2021-10-10,Films,2,Venom,,tt17528598
Argentina,AR,2021-10-10,TV,2,Maid,1.0,tt11337908
Argentina,AR,2021-10-10,Films,3,There's Someone Inside Your House,,tt8150814
Argentina,AR,2021-10-10,TV,3,Grey's Anatomy,17.0,tt0413573
Argentina,AR,2021-10-10,Films,4,Ma,,tt39232292
Argentina,AR,2021-10-10,TV,4,The Five Juanas,1.0,tt15377930
Argentina,AR,2021-10-10,Films,5,Heat,,tt15268810
Argentina,AR,2021-10-10,TV,5,The Chestnut Man,1.0,tt10834220
Argentina,AR,2021-10-10,Films,6,Friendzone,,tt30401982
Argentina,AR,2021-10-10,TV,6,Sex Education,3.0,tt7767422
Argentina,AR,2021-10-10,Films,7,My Little Pony: A New Generation,,tt10101702
Argentina,AR,2021-10-10,TV,7,PAW Patrol,6.0,tt8467618
Argentina,AR,2021-10-10,Films,8,The Mask of Zorro,,tt0219169
Argentina,AR,2021-10-10,TV,8,Midnight Mass,1.0,tt10574558
Argentina,AR,2021-10-10,Films,9,Nights in Rodanthe,,tt0956038
Argentina,AR,2021-10-10,TV,9,Pasión de Gavilanes,1.0,tt0387763
Argentina,AR,2021-10-10,Films,10,Love & Other Drugs,,tt0758752
Argentina,AR,2021-10-10,TV,10,"Yo soy Betty, la fea",1.0,tt0233127
Argentina,AR,2021-10-17,Films,1,Venom,,tt17528598
