,week,country,category,at_rank1,cumulative_weeks_in_top_10_1,at_rank2,cumulative_weeks_in_top_10_2,at_rank3,cumulative_weeks_in_top_10_3,at_rank4,cumulative_weeks_in_top_10_4,at_rank5,cumulative_weeks_in_top_10_5,at_rank6,cumulative_weeks_in_top_10_6,at_rank7,cumulative_weeks_in_top_10_7,at_rank8,cumulative_weeks_in_top_10_8,at_rank9,cumulative_weeks_in_top_10_9,at_rank10,cumulative_weeks_in_top_10_10
2021-07-04_Luxembourg_Films,2021-07-04,Luxembourg,Films,tt32322281,1,tt5562070,1,,,tt0803096,1,tt8231668,1,tt2674426,1,tt7286456,1,tt0903624,1,tt1340138,1,tt30762712,1
2021-07-04_Luxembourg_TV,2021-07-04,Luxembourg,TV,tt10839422,1,tt12004280,1,tt7134908,1,tt2531336,1,tt3909224,1,tt6111130,1,tt6111130,1,tt14033496,1,tt12809988,1,tt14681732,1
2021-07-04_Malaysia_Films,2021-07-04,Malaysia,Films,tt14781176,1,tt2334879,1,,,tt11027830,1,tt7587604,1,tt0833968,1,tt32322281,1,tt5562070,1,tt2267968,1,tt0803096,1
2021-07-04_Malaysia_TV,2021-07-04,Malaysia,TV,tt10839422,1,tt19845542,1,tt13433812,1,tt14518284,1,tt11769304,1,tt12004280,1,tt7099334,1,tt14482414,1,tt11769304,1,tt10850932,1
2021-07-04_Maldives_Films,2021-07-04,Maldives,Films,tt11027830,1,tt32322281,1,tt5113040,1,tt10661848,1,tt5562070,1,tt2267968,1,,,tt0833968,1,,,tt0803096,1
2021-07-04_Maldives_TV,2021-07-04,Maldives,TV,tt10839422,1,tt12004280,1,tt7134908,1,tt13433812,1,tt4052886,1,tt21912430,1,tt3909224,1,tt12343534,1,tt13103134,1,tt12809988,1
2021-07-04_Malta_Films,2021-07-04,Malta,Films,tt32322281,1,tt36455697,1,tt32811226,1,tt5562070,1,tt8231668,1,tt0803096,1,tt1473832,1,tt0386140,1,tt10593226,1,tt0398712,1
2021-07-04_Malta_TV,2021-07-04,Malta,TV,tt12004280,1,tt10839422,1,tt7134908,1,tt2531336,1,tt7985576,1,tt38960977,1,tt4052886,1,tt38960977,1,tt38960977,1,tt14681732,1
2021-07-04_Martinique_Films,2021-07-04,Martinique,Films,tt32322281,1,tt37274197,1,tt9387250,1,tt1259571,1,tt2283362,1,tt5562070,1,,,tt1325004,1,tt8231668,1,,
2021-07-04_Martinique_TV,2021-07-04,Martinique,TV,tt10839422,1,tt12004280,1,tt3909224,1,tt6045840,1,tt7134908,1,tt7817340,1,tt2531336,1,tt12564616,1,tt6045840,1,tt4052886,1
2021-07-04_Mauritius_Films,2021-07-04,Mauritius,Films,tt11027830,1,tt1477834,1,tt2140479,1,tt32322281,1,tt1392190,1,,,tt2674426,1,tt5562070,1,tt0493405,1,tt8085790,1
2021-07-04_Mauritius_TV,2021-07-04,Mauritius,TV,tt10839422,1,tt12004280,1,tt3909224,1,tt7134908,1,tt4052886,1,tt7134908,1,tt7134908,1,tt14033496,1,tt7134908,1,tt2531336,1
2021-07-04_Mexico_Films,2021-07-04,Mexico,Films,tt1616102,1,tt32322281,1,tt2267968,1,tt5562070,1,,,tt31798137,1,tt10525672,1,tt14549558,1,tt37460462,1,tt0126029,1
2021-07-04_Mexico_TV,2021-07-04,Mexico,TV,tt32375039,1,tt14719590,1,tt7134908,1,tt8598690,1,tt10839422,1,tt8598690,1,tt3909224,1,tt0233127,1,tt3904068,1,tt14033496,1
2021-07-04_Morocco_Films,2021-07-04,Morocco,Films,tt32322281,1,tt2140479,1,tt5562070,1,tt8231668,1,tt7547410,1,,,,,tt6806448,1,tt37154045,1,tt5430018,1
2021-07-04_Morocco_TV,2021-07-04,Morocco,TV,tt10839422,1,tt7134908,1,tt12004280,1,tt2531336,1,tt3909224,1,tt14033496,1,tt4052886,1,tt13433812,1,tt7134908,1,tt2531336,1
2021-07-04_Netherlands_Films,2021-07-04,Netherlands,Films,tt32322281,1,,,tt0903624,1,tt0452623,1,tt2674426,1,tt5562070,1,tt9387250,1,,,tt1170358,1,tt3766354,1
2021-07-04_Netherlands_TV,2021-07-04,Netherlands,TV,tt12004280,1,tt10839422,1,tt2531336,1,tt4179452,1,tt7134908,1,tt2306299,1,tt14033496,1,tt4052886,1,tt14681732,1,tt3909224,1
2021-07-04_New_Caledonia_Films,2021-07-04,New_Caledonia,Films,tt1981128,1,tt32322281,1,tt37274197,1,tt0803096,1,tt1259571,1,tt5562070,1,tt0452623,1,,,tt2283362,1,tt0369339,1
2021-07-04_New_Caledonia_TV,2021-07-04,New_Caledonia,TV,tt10839422,1,tt7134908,1,tt7817340,1,tt3909224,1,tt12004280,1,tt4052886,1,tt2531336,1,tt12809988,1,tt13676344,1,tt14033496,1
2021-07-04_New_Zealand_Films,2021-07-04,New_Zealand,Films,tt1025100,1,tt5220122,1,tt2267968,1,tt7698468,1,tt32322281,1,tt0803096,1,tt6834916,1,tt5562070,1,tt8695030,1,tt5968394,1
2021-07-04_New_Zealand_TV,2021-07-04,New_Zealand,TV,tt10839422,1,tt12004280,1,tt6111130,1,tt6111130,1,tt12809988,1,tt6111130,1,tt6111130,1,tt14681732,1,tt3909224,1,tt12427840,1
2021-07-04_Nicaragua_Films,2021-07-04,Nicaragua,Films,tt1616102,1,tt32322281,1,tt37460462,1,tt5562070,1,,,tt14549558,1,tt2267968,1,,,tt31798137,1,tt10525672,1
2021-07-04_Nicaragua_TV,2021-07-04,Nicaragua,TV,tt32375039,1,tt0233127,1,tt7134908,1,tt0387763,1,tt10839422,1,,,tt3909224,1,tt3904068,1,tt3904068,1,tt3904068,1
2021-07-04_Nigeria_Films,2021-07-04,Nigeria,Films,,,tt11831084,1,tt32322281,1,tt1477834,1,tt2140479,1,tt19368374,1,tt27480858,1,,,tt20447140,1,tt7587604,1
2021-07-04_Nigeria_TV,2021-07-04,Nigeria,TV,tt10839422,1,tt12004280,1,tt7134908,1,tt13433812,1,tt19845542,1,tt3909224,1,tt4052886,1,tt2531336,1,tt12809988,1,tt12004280,1
2021-07-04_Norway_Films,2021-07-04,Norway,Films,,,tt0803096,1,tt32322281,1,tt5562070,1,tt9387250,1,tt2674426,1,tt2267968,1,tt8231668,1,tt6095472,1,tt0903624,1
2021-07-04_Norway_TV,2021-07-04,Norway,TV,tt12004280,1,tt10839422,1,tt3909224,1,tt14664414,1,tt4052886,1,tt14681732,1,tt2531336,1,tt12809988,1,tt11102190,1,tt14033496,1
2021-07-04_Oman_Films,2021-07-04,Oman,Films,tt11027830,1,tt32322281,1,tt0903624,1,tt0080453,1,tt10525672,1,tt2199571,1,tt1170358,1,tt5562070,1,tt2310332,1,,
2021-07-04_Oman_TV,2021-07-04,Oman,TV,tt10839422,1,tt4320258,1,tt4320258,1,tt4320258,1,tt4320258,1,tt12004280,1,tt2306299,1,tt4320258,1,tt7134908,1,tt2531336,1
