country_name,country_iso2,week,category,weekly_rank,season_title,imdb_tconst
Argentina,AR,2023-09-17,Films,1,,tt2183014
Argentina,AR,2023-09-17,Films,2,,tt11245972
Argentina,AR,2023-09-17,Films,3,,tt11686490
Argentina,AR,2023-09-17,Films,5,,tt8305852
Argentina,AR,2023-09-17,Films,6,,tt28687398
Argentina,AR,2023-09-17,Films,7,,tt27727074
Argentina,AR,2023-09-17,Films,8,,tt21276878
Argentina,AR,2023-09-17,Films,10,,tt8004664
Argentina,AR,2023-09-17,TV,1,1.0,tt20863760
Argentina,AR,2023-09-17,TV,2,1.0,tt22073352
Argentina,AR,2023-09-17,TV,4,1.0,tt11737520
Argentina,AR,2023-09-17,TV,5,1.0,tt27787857
Argentina,AR,2023-09-17,TV,6,1.0,tt18075020
Argentina,AR,2023-09-17,TV,7,1.0,tt28544336
Argentina,AR,2023-09-17,TV,9,1.0,tt24364150
Argentina,AR,2023-09-17,TV,10,1.0,tt28658091
Argentina,AR,2023-09-10,Films,1,,tt20414642
Argentina,AR,2023-09-10,Films,2,,tt21276878
Argentina,AR,2023-09-10,Films,3,,tt11245972
Argentina,AR,2023-09-10,Films,4,,tt12528166
Argentina,AR,2023-09-10,Films,5,,tt19267924
Argentina,AR,2023-09-10,Films,7,,tt14824590
Argentina,AR,2023-09-10,Films,9,,tt6539992
Argentina,AR,2023-09-10,Films,10,,tt21087084
Argentina,AR,2023-09-10,TV,1,1.0,tt20863760
Argentina,AR,2023-09-10,TV,2,1.0,tt11737520
Argentina,AR,2023-09-10,TV,3,1.0,tt22073352
Argentina,AR,2023-09-10,TV,4,1.0,tt18075020
Argentina,AR,2023-09-10,TV,6,1.0,tt28544336
Argentina,AR,2023-09-10,TV,7,3.0,tt9251798
Argentina,AR,2023-09-10,TV,8,1.0,tt17405750
Argentina,AR,2023-09-10,TV,9,1.0,tt28523129
Argentina,AR,2023-09-03,Films,1,,tt21276878
Argentina,AR,2023-09-03,Films,2,,tt14824590
Argentina,AR,2023-09-03,Films,3,,tt12528166
Argentina,AR,2023-09-03,Films,4,,tt20414642
Argentina,AR,2023-09-03,Films,5,,tt14542504
Argentina,AR,2023-09-03,Films,6,,tt19267924
Argentina,AR,2023-09-03,Films,9,,tt18260564
Argentina,AR,2023-09-03,Films,10,,tt8637498
Argentina,AR,2023-09-03,TV,1,1.0,tt18075020
Argentina,AR,2023-09-03,TV,2,1.0,tt11737520
Argentina,AR,2023-09-03,TV,3,3.0,tt9251798
Argentina,AR,2023-09-03,TV,4,1.0,tt28523129
Argentina,AR,2023-09-03,TV,5,1.0,tt28544336
Argentina,AR,2023-09-03,TV,6,1.0,tt11816814
Argentina,AR,2023-09-03,TV,7,2.0,tt9251798
Argentina,AR,2023-09-03,TV,8,1.0,tt23183618
Argentina,AR,2023-09-03,TV,9,1.0,tt9251798
Argentina,AR,2023-09-03,TV,10,1.0,tt27541298
Argentina,AR,2023-08-27,Films,1,,tt14824590
Argentina,AR,2023-08-27,Films,2,,tt10515926
Argentina,AR,2023-08-27,Films,4,,tt21276878
Argentina,AR,2023-08-27,Films,5,,tt13603966
Argentina,AR,2023-08-27,Films,6,,tt8637498
Argentina,AR,2023-08-27,Films,8,,tt28496500
Argentina,AR,2023-08-27,Films,9,,tt28552695
Argentina,AR,2023-08-27,TV,1,1.0,tt18075020
Argentina,AR,2023-08-27,TV,2,1.0,tt27541298
Argentina,AR,2023-08-27,TV,3,3.0,tt9251798
Argentina,AR,2023-08-27,TV,4,1.0,tt11816814
Argentina,AR,2023-08-27,TV,5,1.0,tt1405354
Argentina,AR,2023-08-27,TV,6,1.0,tt23183618
Argentina,AR,2023-08-27,TV,7,1.0,tt26258200
Argentina,AR,2023-08-27,TV,9,1.0,tt27974068
Argentina,AR,2023-08-27,TV,10,2.0,tt13357140
Argentina,AR,2023-08-20,Films,1,,tt13603966
Argentina,AR,2023-08-20,Films,2,,tt10515926
Argentina,AR,2023-08-20,Films,3,,tt13352968
Argentina,AR,2023-08-20,Films,4,,tt8337158
Argentina,AR,2023-08-20,Films,5,,tt12550376
Argentina,AR,2023-08-20,Films,6,,tt28552695
Argentina,AR,2023-08-20,Films,7,,tt8637498
Argentina,AR,2023-08-20,Films,8,,tt24852002
Argentina,AR,2023-08-20,Films,9,,tt13510660
Argentina,AR,2023-08-20,TV,1,1.0,tt27541298
Argentina,AR,2023-08-20,TV,2,1.0,tt11816814
Argentina,AR,2023-08-20,TV,4,1.0,tt23183618
Argentina,AR,2023-08-20,TV,5,1.0,tt1405354
Argentina,AR,2023-08-20,TV,8,2.0,tt15473010
Argentina,AR,2023-08-20,TV,9,2.0,tt10638036
Argentina,AR,2023-08-13,Films,1,,tt13603966
Argentina,AR,2023-08-13,Films,2,,tt13352968
Argentina,AR,2023-08-13,Films,3,,tt12550376
Argentina,AR,2023-08-13,Films,4,,tt2397461
Argentina,AR,2023-08-13,Films,5,,tt21308888
Argentina,AR,2023-08-13,Films,6,,tt6879446
Argentina,AR,2023-08-13,Films,9,,tt20672534
Argentina,AR,2023-08-13,TV,1,1.0,tt23183618
Argentina,AR,2023-08-13,TV,2,1.0,tt11816814
Argentina,AR,2023-08-13,TV,3,2.0,tt10638036
Argentina,AR,2023-08-13,TV,4,2.0,tt15473010
Argentina,AR,2023-08-13,TV,5,1.0,tt27951663
Argentina,AR,2023-08-13,TV,6,2.0,tt13833978
Argentina,AR,2023-08-13,TV,7,8.0,tt9165438
Argentina,AR,2023-08-13,TV,8,1.0,tt13353168
Argentina,AR,2023-08-13,TV,9,1.0,tt26693803
Argentina,AR,2023-08-06,Films,1,,tt6879446
Argentina,AR,2023-08-06,Films,2,,tt12550376
Argentina,AR,2023-08-06,Films,3,,tt21308888
Argentina,AR,2023-08-06,Films,4,,tt28290233
Argentina,AR,2023-08-06,Films,5,,tt2397461
Argentina,AR,2023-08-06,Films,6,,tt15509244
Argentina,AR,2023-08-06,Films,7,,tt10364034
Argentina,AR,2023-08-06,Films,8,,tt13352968
Argentina,AR,2023-08-06,Films,9,,tt20672534
Argentina,AR,2023-08-06,Films,10,,tt28506156
Argentina,AR,2023-08-06,TV,1,1.0,tt23183618
Argentina,AR,2023-08-06,TV,2,2.0,tt10638036
Argentina,AR,2023-08-06,TV,3,2.0,tt15473010
Argentina,AR,2023-08-06,TV,4,2.0,tt13833978
Argentina,AR,2023-08-06,TV,5,1.0,tt13315324
Argentina,AR,2023-08-06,TV,6,2.0,tt13357140
Argentina,AR,2023-08-06,TV,7,1.0,tt15473010
Argentina,AR,2023-08-06,TV,9,1.0,tt26693803
Argentina,AR,2023-08-06,TV,10,1.0,tt13353168
Argentina,AR,2023-07-30,Films,1,,tt6879446
Argentina,AR,2023-07-30,Films,2,,tt10364034
Argentina,AR,2023-07-30,Films,3,,tt21308888
Argentina,AR,2023-07-30,Films,4,,tt15509244
Argentina,AR,2023-07-30,Films,6,,tt9873892
Argentina,AR,2023-07-30,Films,7,,tt19113292
Argentina,AR,2023-07-30,Films,10,,tt11832046
Argentina,AR,2023-07-30,TV,1,1.0,tt23183618
Argentina,AR,2023-07-30,TV,2,2.0,tt13357140
Argentina,AR,2023-07-30,TV,4,2.0,tt15473010
Argentina,AR,2023-07-30,TV,5,3.0,tt9077540
Argentina,AR,2023-07-30,TV,7,1.0,tt26693803
Argentina,AR,2023-07-30,TV,8,1.0,tt13315324
Argentina,AR,2023-07-30,TV,9,1.0,tt21327000
Argentina,AR,2023-07-30,TV,10,1.0,tt27787160
Argentina,AR,2023-07-23,Films,2,,tt11274492
Argentina,AR,2023-07-23,Films,4,,tt10515988
Argentina,AR,2023-07-23,Films,5,,tt13923456
Argentina,AR,2023-07-23,Films,6,,tt21308698
Argentina,AR,2023-07-23,Films,7,,tt7149730
Argentina,AR,2023-07-23,Films,8,,tt27987407
Argentina,AR,2023-07-23,Films,9,,tt11832046
Argentina,AR,2023-07-23,Films,10,,tt19500164
Argentina,AR,2023-07-23,TV,1,1.0,tt27951663
Argentina,AR,2023-07-23,TV,2,1.0,tt21327000
Argentina,AR,2023-07-23,TV,3,1.0,tt27787160
Argentina,AR,2023-07-23,TV,4,1.0,tt26693803
Argentina,AR,2023-07-23,TV,6,1.0,tt17361756
Argentina,AR,2023-07-23,TV,7,2.0,tt13833978
Argentina,AR,2023-07-23,TV,8,3.0,tt9077540
Argentina,AR,2023-07-23,TV,10,2.0,tt13961348
Argentina,AR,2023-07-16,Films,1,,tt11274492
Argentina,AR,2023-07-16,Films,3,,tt13923456
Argentina,AR,2023-07-16,Films,4,,tt27987407
Argentina,AR,2023-07-16,Films,5,,tt11304504
Argentina,AR,2023-07-16,Films,6,,tt12731980
Argentina,AR,2023-07-16,Films,7,,tt7149730
Argentina,AR,2023-07-16,Films,8,,tt19500164
Argentina,AR,2023-07-16,Films,10,,tt11832046
Argentina,AR,2023-07-16,TV,1,1.0,tt27951663
Argentina,AR,2023-07-16,TV,2,2.0,tt13833978
Argentina,AR,2023-07-16,TV,3,1.0,tt27787160
Argentina,AR,2023-07-16,TV,5,1.0,tt21327000
Argentina,AR,2023-07-16,TV,6,2.0,tt13676344
Argentina,AR,2023-07-16,TV,7,1.0,tt26693803
Argentina,AR,2023-07-16,TV,8,1.0,tt10653784
Argentina,AR,2023-07-16,TV,9,2.0,tt13961348
Argentina,AR,2023-07-16,TV,10,1.0,tt14494938
Argentina,AR,2023-07-09,Films,1,,tt12731980
Argentina,AR,2023-07-09,Films,2,,tt7149730
Argentina,AR,2023-07-09,Films,3,,tt11274492
Argentina,AR,2023-07-09,Films,5,,tt13923456
Argentina,AR,2023-07-09,Films,6,,tt16711054
Argentina,AR,2023-07-09,Films,7,,tt11304504
Argentina,AR,2023-07-09,Films,8,,tt11832046
Argentina,AR,2023-07-09,Films,10,,tt19500164
Argentina,AR,2023-07-09,TV,1,1.0,tt27951663
Argentina,AR,2023-07-09,TV,3,1.0,tt27787160
Argentina,AR,2023-07-09,TV,4,2.0,tt13833978
Argentina,AR,2023-07-09,TV,5,1.0,tt25375244
Argentina,AR,2023-07-09,TV,6,1.0,tt14494938
Argentina,AR,2023-07-09,TV,7,1.0,tt14117010
Argentina,AR,2023-07-09,TV,9,1.0,tt18314214
Argentina,AR,2023-07-09,TV,10,1.0,tt26315487
Argentina,AR,2023-07-02,Films,2,,tt21257152
Argentina,AR,2023-07-02,Films,3,,tt12263384
Argentina,AR,2023-07-02,Films,5,,tt8400584
Argentina,AR,2023-07-02,Films,7,,tt11832046
Argentina,AR,2023-07-02,Films,8,,tt7149730
Argentina,AR,2023-07-02,Films,9,,tt27728519
Argentina,AR,2023-07-02,Films,10,,tt12731980
Argentina,AR,2023-07-02,TV,2,1.0,tt25375244
Argentina,AR,2023-07-02,TV,3,1.0,tt27787160
Argentina,AR,2023-07-02,TV,5,1.0,tt14494938
Argentina,AR,2023-07-02,TV,6,1.0,tt22696582
Argentina,AR,2023-07-02,TV,7,1.0,tt19503218
Argentina,AR,2023-07-02,TV,8,1.0,tt26315487
Argentina,AR,2023-06-25,Films,1,,tt12263384
Argentina,AR,2023-06-25,Films,3,,tt11832046
Argentina,AR,2023-06-25,Films,4,,tt8936646
Argentina,AR,2023-06-25,Films,5,,tt21257152
Argentina,AR,2023-06-25,Films,8,,tt27542448
Argentina,AR,2023-06-25,Films,10,,tt22506746
Argentina,AR,2023-06-25,TV,1,1.0,tt27787160
Argentina,AR,2023-06-25,TV,3,1.0,tt25375244
Argentina,AR,2023-06-25,TV,4,1.0,tt14494938
Argentina,AR,2023-06-25,TV,5,1.0,tt26315487
Argentina,AR,2023-06-25,TV,6,4.0,tt10062292
Argentina,AR,2023-06-25,TV,8,3.0,tt9731288
Argentina,AR,2023-06-25,TV,10,1.0,tt27713897
Argentina,AR,2023-06-18,Films,1,,tt12263384
Argentina,AR,2023-06-18,Films,2,,tt11832046
Argentina,AR,2023-06-18,Films,3,,tt19121700
Argentina,AR,2023-06-18,Films,4,,tt22506746
Argentina,AR,2023-06-18,Films,5,,tt8936646
Argentina,AR,2023-06-18,Films,7,,tt11191490
Argentina,AR,2023-06-18,Films,9,,tt7354440
Argentina,AR,2023-06-18,Films,10,,tt15282148
Argentina,AR,2023-06-18,TV,1,1.0,tt14494938
Argentina,AR,2023-06-18,TV,3,1.0,tt27787160
Argentina,AR,2023-06-18,TV,4,1.0,tt26315487
Argentina,AR,2023-06-18,TV,5,4.0,tt10062292
Argentina,AR,2023-06-18,TV,6,1.0,tt27713897
Argentina,AR,2023-06-18,TV,7,3.0,tt9731288
Argentina,AR,2023-06-18,TV,8,1.0,tt22074484
Argentina,AR,2023-06-18,TV,9,1.0,tt13064902
Argentina,AR,2023-06-11,Films,2,,tt11191490
Argentina,AR,2023-06-11,Films,3,,tt15282148
Argentina,AR,2023-06-11,Films,4,,tt19121700
Argentina,AR,2023-06-11,Films,5,,tt11749480
Argentina,AR,2023-06-11,Films,7,,tt7354440
Argentina,AR,2023-06-11,TV,1,1.0,tt14494938
Argentina,AR,2023-06-11,TV,3,1.0,tt22074484
Argentina,AR,2023-06-11,TV,5,3.0,tt9731288
Argentina,AR,2023-06-11,TV,7,4.0,tt10062292
Argentina,AR,2023-06-11,TV,8,1.0,tt13064902
Argentina,AR,2023-06-04,Films,1,,tt15282148
Argentina,AR,2023-06-04,Films,2,,tt18073328
Argentina,AR,2023-06-04,Films,3,,tt7354440
Argentina,AR,2023-06-04,Films,4,,tt5616176
Argentina,AR,2023-06-04,Films,6,,tt21735972
Argentina,AR,2023-06-04,Films,7,,tt15411160
Argentina,AR,2023-06-04,Films,8,,tt6968614
Argentina,AR,2023-06-04,Films,10,,tt11749480
Argentina,AR,2023-06-04,TV,1,1.0,tt14494938
Argentina,AR,2023-06-04,TV,2,1.0,tt13064902
Argentina,AR,2023-06-04,TV,5,1.0,tt20477492
Argentina,AR,2023-06-04,TV,6,1.0,tt22074484
Argentina,AR,2023-06-04,TV,8,3.0,tt9731288
