week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,imdb_tconst
2023-11-19,Films (English),5,F9: The Fast Saga,,10200000,2.3833,4300000.0,4,False,tt5433138
2023-11-19,Films (English),6,Lone Survivor,,8000000,2.0167,4000000.0,1,False,tt1091191
2023-11-19,Films (English),7,Cold Pursuit,,5900000,1.9667,3000000.0,4,False,tt5719748
2023-11-19,Films (English),8,Paw Patrol: The Movie,,3800000,1.4333,2700000.0,8,False,tt11832046
2023-11-19,Films (English),9,Pain Hustlers,,5500000,2.0833,2600000.0,4,False,tt15257160
2023-11-19,Films (English),10,See You on Venus,,4000000,1.5833,2500000.0,1,False,tt14960612
2023-11-19,Films (Non-English),1,Believer 2,,10900000,1.9333,5600000.0,1,False,tt26258204
2023-11-19,Films (Non-English),2,Wingwomen,,8900000,1.9333,4600000.0,3,False,tt21638298
2023-11-19,Films (Non-English),3,All-Time High,,4700000,1.7167,2700000.0,1,False,tt27921620
2023-11-19,Films (Non-English),4,Summer Vacation,,3700000,1.6667,2200000.0,2,False,tt1091844
2023-11-19,Films (Non-English),6,Burning Betrayal,,3100000,1.65,1900000.0,4,False,tt26787296
2023-11-19,Films (Non-English),7,In Love and Deep Water,,3200000,2.1167,1500000.0,1,False,tt21211474
2023-11-19,Films (Non-English),8,Nowhere,,2600000,1.8167,1400000.0,8,False,tt15789472
2023-11-19,Films (Non-English),9,The Claus Family 3,,1700000,1.2167,1400000.0,2,False,tt19072084
2023-11-19,Films (Non-English),10,Forgotten Love,,2300000,2.3333,1000000.0,8,False,tt26596953
2023-11-19,TV (English),1,The Crown,The Crown: Season 6,36900000,3.3167,11100000.0,1,False,tt4786824
2023-11-19,TV (English),3,All the Light We Cannot See,All the Light We Cannot See: Limited Series,21700000,3.8333,5700000.0,3,False,tt15320362
2023-11-19,TV (English),4,How to Become a Mob Boss,How to Become a Mob Boss: Season 1,11900000,3.0333,3900000.0,1,False,tt29541632
2023-11-19,TV (English),5,Escaping Twin Flames,Escaping Twin Flames: Season 1,9400000,2.9167,3200000.0,2,False,tt29388212
2023-11-19,TV (English),6,Selling Sunset,Selling Sunset: Season 7,18300000,7.7667,2400000.0,3,False,tt9817298
2023-11-19,TV (English),7,Robbie Williams,Robbie Williams: Limited Series,7300000,3.3333,2200000.0,2,False,tt28210840
2023-11-19,TV (English),8,Unicorn Academy,Unicorn Academy: Chapter 1,9800000,4.6333,2100000.0,3,False,tt27423738
2023-11-19,TV (English),9,Life on Our Planet,Life on Our Planet: Season 1,13700000,6.9333,2000000.0,4,False,tt23181388
2023-11-19,TV (English),10,BLUE EYE SAMURAI,BLUE EYE SAMURAI: Season 1,12300000,6.35,1900000.0,2,False,tt13309742
2023-11-19,TV (Non-English),1,Criminal Code,Criminal Code: Season 1,50800000,7.7667,6500000.0,1,False,tt22459586
2023-11-19,TV (Non-English),2,Suburræterna,Suburræterna: Season 1,15400000,6.0333,2600000.0,1,False,tt28019928
2023-11-19,TV (Non-English),4,The Tailor,The Tailor: Season 3,10200000,5.0833,2000000.0,3,False,tt15473010
2023-11-19,TV (Non-English),5,Castaway Diva,Castaway Diva: Limited Series,15200000,0.0,2000000.0,3,True,tt28348835
2023-11-19,TV (Non-English),6,Daily Dose of Sunshine,Daily Dose of Sunshine: Season 1,23500000,12.95,1800000.0,2,False,tt26258202
2023-11-19,TV (Non-English),7,Strong Girl Nam-soon,Strong Girl Nam-soon: Limited Series,23700000,0.0,1600000.0,7,True,tt29225198
2023-11-19,TV (Non-English),9,Lupin,Lupin: Part 3,8500000,5.5167,1500000.0,7,False,tt1018841
2023-11-19,TV (Non-English),10,Cigarette Girl,Cigarette Girl: Season 1,8200000,5.4167,1500000.0,2,False,tt21279114
2023-11-12,Films (English),1,The Killer,,55700000,2.0,27900000.0,1,False,tt1136617
2023-11-12,Films (English),2,Locked In,,21400000,1.6167,13200000.0,2,False,tt24870072
2023-11-12,Films (English),3,F9: The Fast Saga,,24900000,2.3833,10400000.0,3,False,tt5433138
2023-11-12,Films (English),4,Sly,,9500000,1.6,5900000.0,2,False,tt28254460
2023-11-12,Films (English),5,NYAD,,11700000,2.0167,5800000.0,2,False,tt5302918
2023-11-12,Films (English),6,Pain Hustlers,,10600000,2.0833,5100000.0,3,False,tt15257160
2023-11-12,Films (English),7,Spider-Man: Across the Spider-Verse,,10200000,2.3333,4400000.0,2,False,tt9362722
2023-11-12,Films (English),8,Deep Fear,,6100000,1.4167,4300000.0,1,False,tt14865406
2023-11-12,Films (English),9,13 Hours: The Secret Soldiers of Benghazi,,9900000,2.4,4100000.0,3,False,tt4172430
2023-11-12,Films (English),10,Cold Pursuit,,6700000,1.9667,3400000.0,3,False,tt5719748
2023-11-12,Films (Non-English),1,Wingwomen,,22500000,1.9333,11600000.0,2,False,tt21638298
2023-11-12,Films (Non-English),2,Summer Vacation,,9000000,1.6667,5400000.0,1,False,tt1091844
2023-11-12,Films (Non-English),4,The Claus Family 3,,3400000,1.2167,2800000.0,1,False,tt19072084
2023-11-12,Films (Non-English),5,Burning Betrayal,,4300000,1.65,2600000.0,3,False,tt26787296
2023-11-12,Films (Non-English),6,Nowhere,,2900000,1.8167,1600000.0,7,False,tt15789472
2023-11-12,Films (Non-English),7,Sister Death,,2000000,1.5167,1300000.0,3,False,tt19175696
2023-11-12,Films (Non-English),8,Ransomed,,2800000,2.2,1300000.0,1,False,tt27795356
2023-11-12,Films (Non-English),9,Irugapatru,,3000000,2.55,1200000.0,1,False,tt16103606
2023-11-12,Films (Non-English),10,Forgotten Love,,2700000,2.3333,1200000.0,7,False,tt26596953
2023-11-12,TV (English),1,All the Light We Cannot See,All the Light We Cannot See: Limited Series,38700000,3.8333,10100000.0,2,False,tt15320362
2023-11-12,TV (English),2,Selling Sunset,Selling Sunset: Season 7,30000000,6.4333,4700000.0,2,False,tt9817298
2023-11-12,TV (English),3,Escaping Twin Flames,Escaping Twin Flames: Season 1,11900000,2.9167,4100000.0,1,False,tt29388212
2023-11-12,TV (English),4,Robbie Williams,Robbie Williams: Limited Series,13100000,3.3333,3900000.0,1,False,tt28210840
2023-11-12,TV (English),5,Unicorn Academy,Unicorn Academy: Chapter 1,15300000,4.6333,3300000.0,2,False,tt27423738
2023-11-12,TV (English),6,BLUE EYE SAMURAI,BLUE EYE SAMURAI: Season 1,18100000,6.35,2900000.0,1,False,tt13309742
2023-11-12,TV (English),7,Till Murder Do Us Part: Soering vs. Haysom,Till Murder Do Us Part: Soering vs. Haysom: Limited Series,9000000,3.2167,2800000.0,2,False,tt28466971
2023-11-12,TV (English),8,Life on Our Planet,Life on Our Planet: Season 1,18800000,6.9333,2700000.0,3,False,tt23181388
2023-11-12,TV (English),9,Bodies,Bodies: Limited Series,19600000,7.6333,2600000.0,4,False,tt18347622
2023-11-12,TV (English),10,Beckham,Beckham: Limited Series,8000000,4.75,1700000.0,6,False,tt14524712
2023-11-12,TV (Non-English),1,The Tailor,The Tailor: Season 3,22400000,5.0833,4400000.0,2,False,tt15473010
2023-11-12,TV (Non-English),3,Ferry: The Series,Ferry: The Series: The Series,18700000,6.1,3100000.0,2,False,tt28466970
2023-11-12,TV (Non-English),4,Daily Dose of Sunshine,Daily Dose of Sunshine: Season 1,36400000,12.95,2800000.0,1,False,tt26258202
2023-11-12,TV (Non-English),5,Lupin,Lupin: Part 3,11100000,5.5167,2000000.0,6,False,tt1018841
2023-11-12,TV (Non-English),6,Castaway Diva,Castaway Diva: Limited Series,10700000,0.0,1900000.0,2,True,tt28348835
2023-11-12,TV (Non-English),7,Strong Girl Nam-soon,Strong Girl Nam-soon: Limited Series,22900000,0.0,1900000.0,6,True,tt29225198
2023-11-12,TV (Non-English),8,Pact of Silence,Pact of Silence: Season 1,22000000,12.0333,1800000.0,5,False,tt29195231
2023-11-12,TV (Non-English),9,Attack on Titan,Attack on Titan: The Final Season Part 3,4700000,0.0,1700000.0,1,True,tt2560140
2023-11-12,TV (Non-English),10,Cigarette Girl,Cigarette Girl: Season 1,8600000,5.4167,1600000.0,1,False,tt21279114
2023-11-05,Films (English),1,Locked In,,28800000,1.6167,17800000.0,1,False,tt24870072
2023-11-05,Films (English),2,Pain Hustlers,,31700000,2.0833,15200000.0,2,False,tt15257160
2023-11-05,Films (English),3,Cold Pursuit,,17300000,1.9667,8800000.0,2,False,tt5719748
2023-11-05,Films (English),4,Spider-Man: Across the Spider-Verse,,20100000,2.3333,8600000.0,1,False,tt9362722
2023-11-05,Films (English),5,Old Dads,,8700000,1.7333,5000000.0,3,False,tt18394190
2023-11-05,Films (English),6,NYAD,,9500000,2.0167,4700000.0,1,False,tt5302918
2023-11-05,Films (English),7,Sly,,7500000,1.6,4700000.0,1,False,tt28254460
2023-11-05,Films (English),9,Minions,,6600000,1.5167,4400000.0,2,False,tt2293640
2023-11-05,Films (English),10,Herself,,6700000,1.6167,4100000.0,1,False,tt9902160
2023-11-05,Films (Non-English),1,Wingwomen,,35700000,1.9333,18500000.0,1,False,tt21638298
2023-11-05,Films (Non-English),2,Burning Betrayal,,10700000,1.65,6500000.0,2,False,tt26787296
2023-11-05,Films (Non-English),3,Sister Death,,9300000,1.5167,6100000.0,2,False,tt19175696
2023-11-05,Films (Non-English),5,Nowhere,,3600000,1.8167,2000000.0,6,False,tt15789472
2023-11-05,Films (Non-English),6,Forgotten Love,,3900000,2.3333,1700000.0,6,False,tt26596953
2023-11-05,Films (Non-English),7,A Deadly Invitation,,2200000,1.55,1400000.0,4,False,tt13022120
2023-11-05,Films (Non-English),8,Hatching,,2000000,1.5167,1300000.0,1,False,tt12519030
2023-11-05,Films (Non-English),9,The Takedown,,2600000,2.0167,1300000.0,8,False,tt13822738
2023-11-05,Films (Non-English),10,Ballerina,,2000000,1.5667,1300000.0,5,False,tt0048979
2023-11-05,TV (English),1,All the Light We Cannot See,All the Light We Cannot See: Limited Series,37600000,3.8333,9800000.0,1,False,tt15320362
2023-11-05,TV (English),2,Till Murder Do Us Part: Soering vs. Haysom,Till Murder Do Us Part: Soering vs. Haysom: Limited Series,15200000,3.2167,4700000.0,1,False,tt28466971
2023-11-05,TV (English),3,Bodies,Bodies: Limited Series,33200000,7.6333,4300000.0,3,False,tt18347622
2023-11-05,TV (English),4,Life on Our Planet,Life on Our Planet: Season 1,29500000,6.9333,4300000.0,2,False,tt23181388
2023-11-05,TV (English),5,Unicorn Academy,Unicorn Academy: Chapter 1,15100000,4.6333,3300000.0,1,False,tt27423738
2023-11-05,TV (English),6,Get Gotti,Get Gotti: Season 1,8000000,2.5333,3200000.0,2,False,tt29333646
2023-11-05,TV (English),7,The Fall of the House of Usher,The Fall of the House of Usher: Limited Series,23400000,8.2833,2800000.0,4,False,tt15567174
2023-11-05,TV (English),8,Selling Sunset,Selling Sunset: Season 7,18100000,6.4333,2800000.0,1,False,tt9817298
2023-11-05,TV (English),9,Beckham,Beckham: Limited Series,12600000,4.75,2700000.0,5,False,tt14524712
2023-11-05,TV (English),10,Mysteries of the Faith,Mysteries of the Faith: Season 1,6600000,2.8167,2300000.0,1,False,tt29416049
