tconst	averageRating	numVotes
tt0041428	6.5	1043
tt0041460	7.3	3373
tt0041481	7.0	864
tt0041523	5.6	1059
tt0041532	6.0	226
tt0041594	7.2	8881
tt0041614	7.8	14
tt0041615	7.0	3274
tt0041641	6.2	148
tt0041770	5.7	23
tt0041800	7.0	496
tt0041931	7.2	8794
tt0041983	6.4	2067
tt0041994	6.2	1504
tt0041998	6.5	3133
tt0042007	6.6	1098
tt0042101	6.6	21
tt0042114	8.6	6796
tt0042189	6.2	935
tt0042194	6.1	282
tt0042220	4.6	30
tt0042223	5.0	11
tt0042251	5.6	79
tt0042258	5.6	302
tt0042279	6.7	1147
tt0042282	6.7	473
tt0042327	7.0	6033
tt0042332	7.3	185801
tt0042352	6.7	2067
tt0042384	6.2	5679
tt0042427	6.6	28
tt0042578	5.7	210
tt0042599	6.4	61
tt0042619	7.7	13572
tt0042627	7.3	808
tt0042650	7.9	2976
tt0042665	7.3	2364
tt0042674	6.1	673
tt0042841	6.1	618
tt0043043	5.6	376
tt0043100	5.4	144
tt0043263	5.5	189
tt0043269	7.9	16
tt0043274	7.3	165340
tt0043287	6.6	493
tt0043344	6.0	185
tt0043456	7.7	89528
tt0043485	4.5	7
tt0043539	6.3	1856
tt0043607	9.0	9
tt0043635	6.2	53
tt0043669	6.8	1328
tt0043678	6.2	393
tt0043686	8.0	14107
tt0043726	6.5	566
tt0043794	6.3	214
tt0044008	8.1	29041
tt0044025	6.3	312
tt0044029	6.8	149
tt0044036	5.9	424
tt0044093	4.4	21
tt0044098	6.8	453
tt0044103	7.1	4497
tt0044119	6.1	1240
tt0044290	6.1	29
tt0044299	6.7	33
tt0044378	6.4	599
tt0044486	7.3	3062
tt0044614	5.9	188
tt0044656	5.3	1067
tt0044678	5.8	62
tt0044696	6.8	489
tt0044757	7.6	27
tt0044799	7.6	61
tt0044829	7.5	16799
tt0044876	7.2	11599
tt0044880	6.4	107
tt0044937	7.1	3726
tt0044974	6.3	571
tt0045091	6.4	889
tt0045092	6.4	385
tt0045186	6.9	4483
tt0045237	5.8	128
tt0045267	6.8	1969
tt0045324	6.6	377
tt0045481	6.2	111
tt0045490	5.8	327
tt0045623	5.5	203
tt0045654	7.3	1225
tt0045677	6.6	23
tt0045728	6.4	400
tt0045763	5.7	216
tt0045815	6.4	336
tt0045888	7.0	22364
tt0045911	7.0	2043
tt0045981	6.6	805
tt0046015	7.5	13
tt0046047	5.7	69
tt0046123	5.6	217
tt0046124	6.2	1065
tt0046130	5.6	461
tt0046168	5.7	45
tt0046183	7.3	164292
tt0046415	7.1	1340
tt0046435	7.0	8159
tt0046461	6.0	475
tt0046616	5.2	32
tt0046617	6.6	4261
tt0046621	6.1	28
tt0046642	7.5	1257
tt0046651	7.5	22
tt0046730	6.0	92
tt0046743	5.9	572
tt0046791	6.7	3687
tt0046792	6.2	967
tt0046801	6.6	1572
tt0046810	6.5	160
tt0046855	5.8	185
tt0046927	6.3	382
tt0046969	5.3	1789
tt0046991	5.7	201
tt0047008	6.9	94
tt0047029	6.0	692
tt0047034	7.6	44893
tt0047198	6.9	32
tt0047291	6.6	169
tt0047317	6.4	319
tt0047334	6.1	432
tt0047336	6.7	2138
tt0047371	5.4	123
tt0047469	7.4	9972
tt0047522	7.5	20873
tt0047561	6.8	345
tt0047570	6.5	60
tt0047661	7.4	87
tt0047714	6.9	208
tt0047723	7.3	76
tt0047724	7.3	106
tt0047734	7.4	636
tt0047773	7.6	105
tt0047785	5.4	10
tt0047817	5.9	239
tt0047821	7.1	3706
tt0047843	7.0	63
tt0047892	7.5	14219
tt0047992	5.6	66
tt0048115	5.8	255
tt0048166	6.1	437
tt0048208	7.6	431
tt0048211	6.7	520
tt0048281	7.6	33809
tt0048308	7.2	6572
tt0048310	6.5	1298
tt0048315	6.4	377
tt0048413	6.0	696
tt0048468	5.6	18
tt0048571	6.1	169
tt0048585	6.9	290
tt0048624	7.0	11038
tt0048634	6.2	646
tt0048644	6.4	232
tt0048673	7.1	11217
tt0048734	6.2	811
tt0048752	8.0	8151
tt0048872	7.1	40
tt0048906	5.0	17
tt0048960	6.7	31687
tt0048979	6.5	39
tt0049006	6.9	6444
tt0049026	6.3	482
tt0049030	6.6	1260
tt0049085	5.8	48
tt0049129	6.4	240
tt0049140	6.1	603
tt0049291	7.5	10217
tt0049314	6.9	18958
tt0049360	6.5	28
tt0049365	5.8	70
tt0049379	5.4	52
tt0049406	7.9	105002
tt0049438	5.7	16
tt0049489	6.8	130
tt0049512	6.3	24
tt0049513	7.3	23923
tt0049551	8.2	16
tt0049604	5.6	128
tt0049653	6.9	4578
tt0049717	6.5	520
tt0049761	6.7	883
tt0049771	6.6	225
tt0049815	6.4	3109
tt0049833	7.9	83393
tt0049918	4.8	45
tt0050086	7.6	23604
tt0050259	7.8	302
tt0050381	5.4	2646
tt0050441	6.6	56
tt0050512	6.3	645
tt0050580	6.1	773
tt0050650	6.3	757
tt0050682	6.5	483
tt0050709	7.4	2092
tt0050762	7.2	2014
tt0050800	7.3	1304
tt0050846	7.2	18
tt0050870	8.3	8159
tt0051129	6.5	55
tt0051155	6.9	423
tt0051193	6.6	1184
tt0051244	7.1	54
tt0051285	7.0	496
tt0051351	4.6	22
tt0051415	5.4	12
tt0051459	7.9	56636
tt0051477	6.3	1417
tt0051565	7.1	3911
tt0051803	5.7	65
tt0051871	5.9	198
tt0051886	5.0	128
tt0051913	6.8	1283
tt0052076	6.3	58
tt0052091	7.3	61
tt0052106	6.7	2339
tt0052232	5.3	90
tt0052278	7.1	5429
tt0052339	6.7	384
tt0052359	6.9	54
tt0052364	7.1	60
tt0052391	6.4	789
tt0052556	7.1	6353
tt0052618	8.1	269709
tt0052674	5.1	28
tt0052695	6.6	874
tt0052766	5.4	162
tt0052852	7.8	1238
tt0052937	5.5	327
tt0052948	7.0	21144
tt0052950	6.8	2000
tt0053002	6.8	1653
tt0053023	6.1	221
tt0053032	6.7	653
tt0053074	5.8	9
tt0053085	6.6	12574
tt0053134	7.8	12254
tt0053148	7.2	222
tt0053150	6.0	34
tt0053224	4.3	127
tt0053239	5.7	54
tt0053271	6.4	6039
tt0053282	7.2	287
tt0053291	8.2	303110
tt0053338	5.4	24
tt0053362	5.6	448
tt0053365	5.8	513
tt0053485	7.3	50
tt0053502	7.5	44250
tt0053527	7.4	102
tt0053544	7.3	220
tt0053553	6.2	26
tt0053580	6.8	19381
tt0053703	6.0	114
tt0053781	6.2	114
tt0053805	8.0	16
tt0053891	5.2	1267
tt0053925	6.9	17219
tt0054047	7.7	109888
tt0054115	7.1	1825
tt0054130	7.9	26249
tt0054135	6.5	27114
tt0054151	6.9	557
tt0054176	7.4	2531
tt0054242	7.3	1009
tt0054279	7.3	4271
tt0054374	6.7	237
tt0054386	5.7	69
tt0054387	7.5	48066
tt0054389	7.4	21804
tt0054399	3.2	12
tt0054439	5.8	9
tt0054452	7.6	5401
tt0054518	8.3	9726
tt0054632	7.6	26779
tt0054640	7.0	1720
tt0054678	6.7	863
tt0054697	7.2	719
tt0054748	7.2	89
