week,at_rank1,views_at_rank1,at_rank2,views_at_rank2,at_rank3,views_at_rank3,at_rank4,views_at_rank4,at_rank5,views_at_rank5,at_rank6,views_at_rank6,at_rank7,views_at_rank7,at_rank8,views_at_rank8,at_rank9,views_at_rank9,at_rank10,views_at_rank10
2023-10-22,tt18394190,"[23100000.0, 13300000.0, 1.0]",tt28810493,"[11000000.0, 8000000.0, 1.0]",tt1025100,"[14300000.0, 7300000.0, 5.0]",tt13274016,"[15800000.0, 7000000.0, 4.0]",tt2139881,"[8800000.0, 4200000.0, 1.0]",tt16304446,"[7300000.0, 3800000.0, 3.0]",tt15671028,"[6600000.0, 3800000.0, 1.0]",tt2103254,"[6000000.0, 3800000.0, 1.0]",tt0227538,"[5400000.0, 3700000.0, 1.0]",tt0175142,"[5400000.0, 3700000.0, 1.0]"
2023-10-22,tt26547864,"[10900000.0, 6500000.0, 2.0]",tt15789472,"[9100000.0, 5000000.0, 4.0]",tt0048979,"[6600000.0, 4200000.0, 3.0]",tt6523720,"[6400000.0, 3700000.0, 1.0]",tt26596953,"[8300000.0, 3600000.0, 4.0]",,,tt21249656,"[5200000.0, 2600000.0, 1.0]",tt22086334,"[4600000.0, 2200000.0, 1.0]",tt13022120,"[2400000.0, 1500000.0, 3.0]",tt15732324,"[3500000.0, 1400000.0, 3.0]"
2023-10-22,tt15567174,"[65300000.0, 7900000.0, 2.0]",tt14524712,"[32800000.0, 6900000.0, 3.0]",tt18347622,"[42000000.0, 5500000.0, 1.0]",tt27591984,"[12100000.0, 3400000.0, 1.0]",tt7767422,"[21300000.0, 2600000.0, 5.0]",tt2620890,"[20400000.0, 1800000.0, 5.0]",tt2340201,"[7400000.0, 1600000.0, 1.0]",tt11737520,"[10900000.0, 1400000.0, 8.0]",tt12427840,"[1400000.0, 1300000.0, 5.0]",tt12427840,"[3600000.0, 1200000.0, 2.0]"
2023-10-22,tt1018841,"[42700000.0, 7700000.0, 3.0]",tt29195231,"[68800000.0, 5700000.0, 2.0]",tt29225198,"[20700000.0, 3600000.0, 3.0]",tt1018841,"[12900000.0, 3200000.0, 3.0]",tt1018841,"[11500000.0, 3000000.0, 7.0]",tt7134908,"[21100000.0, 3000000.0, 1.0]",tt24245988,"[19800000.0, 2800000.0, 1.0]",tt27494436,"[11500000.0, 1600000.0, 2.0]",tt19072562,"[11700000.0, 1600000.0, 1.0]",tt0156205,"[8500000.0, 1400000.0, 1.0]"
2023-10-15,tt13274016,"[32300000.0, 14200000.0, 3.0]",tt16304446,"[26900000.0, 14000000.0, 2.0]",tt1025100,"[10300000.0, 5300000.0, 4.0]",tt3532216,"[9300000.0, 4900000.0, 1.0]",tt0377092,"[6300000.0, 3900000.0, 3.0]",tt7958736,"[5800000.0, 3500000.0, 1.0]",tt0112642,"[5400000.0, 3200000.0, 1.0]",tt3580748,"[5400000.0, 3100000.0, 1.0]",tt13320622,"[5800000.0, 3100000.0, 1.0]",tt5052448,"[5300000.0, 3100000.0, 2.0]"
2023-10-15,tt0048979,"[23100000.0, 14700000.0, 2.0]",tt15789472,"[23900000.0, 13200000.0, 3.0]",tt26547864,"[12700000.0, 7600000.0, 1.0]",tt26596953,"[15800000.0, 6800000.0, 3.0]",tt15732324,"[11500000.0, 4500000.0, 2.0]",tt15433600,"[8700000.0, 3300000.0, 2.0]",tt13022120,"[4100000.0, 2600000.0, 2.0]",,,tt16427938,"[2900000.0, 1700000.0, 3.0]",tt29025883,"[2700000.0, 1600000.0, 1.0]"
2023-10-15,tt14524712,"[54900000.0, 11600000.0, 2.0]",tt15567174,"[51900000.0, 6300000.0, 1.0]",tt7767422,"[32700000.0, 4000000.0, 4.0]",tt14081634,"[9700000.0, 3100000.0, 1.0]",tt6269952,"[27900000.0, 2600000.0, 4.0]",tt11737520,"[14300000.0, 1900000.0, 7.0]",tt12427840,"[1500000.0, 1400000.0, 4.0]",tt9077530,"[10700000.0, 1400000.0, 6.0]",tt16287480,"[8300000.0, 1300000.0, 1.0]",tt1877368,"[4300000.0, 1300000.0, 2.0]"
2023-10-15,tt1018841,"[77900000.0, 14100000.0, 2.0]",tt1018841,"[18700000.0, 4700000.0, 2.0]",tt29225198,"[15800000.0, 4400000.0, 2.0]",tt1018841,"[16100000.0, 4300000.0, 6.0]",tt29195231,"[43300000.0, 3600000.0, 1.0]",tt27494436,"[6400000.0, 1800000.0, 1.0]",tt20863760,"[8400000.0, 1700000.0, 6.0]",tt27974068,"[28900000.0, 1700000.0, 8.0]",tt13706018,"[1200000.0, 1500000.0, 1.0]",tt20449034,"[4800000.0, 1300000.0, 1.0]"
2023-10-08,tt13274016,"[45100000.0, 19900000.0, 2.0]",tt16304446,"[24200000.0, 12600000.0, 1.0]",tt28073548,"[10700000.0, 7200000.0, 2.0]",tt2708254,"[10600000.0, 6300000.0, 1.0]",tt6654210,"[8600000.0, 4900000.0, 1.0]",tt0377092,"[7300000.0, 4500000.0, 2.0]",tt13978520,"[7100000.0, 4300000.0, 3.0]",tt1204975,"[7200000.0, 4100000.0, 1.0]",tt2024432,"[7300000.0, 3900000.0, 1.0]",tt24083908,"[7700000.0, 3700000.0, 3.0]"
2023-10-08,tt15789472,"[54400000.0, 29900000.0, 2.0]",tt26596953,"[24500000.0, 10500000.0, 2.0]",tt0048979,"[15800000.0, 10100000.0, 1.0]",tt16427938,"[8400000.0, 5000000.0, 2.0]",tt15433600,"[13200000.0, 5000000.0, 1.0]",tt28840429,"[3800000.0, 2700000.0, 2.0]",tt15732324,"[6200000.0, 2400000.0, 1.0]",tt27045321,"[3400000.0, 2100000.0, 2.0]",tt15748830,"[4400000.0, 1900000.0, 3.0]",tt13022120,"[2700000.0, 1700000.0, 1.0]"
2023-10-08,tt14524712,"[58800000.0, 12400000.0, 1.0]",tt7767422,"[53800000.0, 6600000.0, 3.0]",tt2620890,"[32600000.0, 3700000.0, 3.0]",tt11737520,"[18800000.0, 2500000.0, 6.0]",tt31308366,"[6800000.0, 2000000.0, 2.0]",tt9077530,"[15200000.0, 2000000.0, 5.0]",tt14833612,"[6800000.0, 1800000.0, 2.0]",tt26340238,"[3200000.0, 1800000.0, 3.0]",tt26445771,"[3800000.0, 1600000.0, 2.0]",tt1877368,"[3500000.0, 1600000.0, 1.0]"
2023-10-08,tt1018841,"[63900000.0, 11600000.0, 1.0]",tt1018841,"[13900000.0, 3500000.0, 1.0]",tt20863760,"[14500000.0, 3000000.0, 5.0]",tt1018841,"[10200000.0, 2700000.0, 5.0]",tt29225198,"[2500000.0, 1600000.0, 1.0]",tt27995115,"[14700000.0, 1500000.0, 2.0]",tt27974068,"[22500000.0, 1500000.0, 7.0]",tt22073352,"[8700000.0, 1300000.0, 5.0]",tt21627436,"[8600000.0, 1000000.0, 3.0]",tt27787857,"[4400000.0, 1000000.0, 4.0]"
2023-10-01,tt13274016,"[40200000.0, 17700000.0, 1.0]",tt28073548,"[17300000.0, 11700000.0, 1.0]",tt24083908,"[23100000.0, 11200000.0, 2.0]",tt13978520,"[14700000.0, 9000000.0, 2.0]",tt2850386,"[14100000.0, 8900000.0, 2.0]",tt2183014,"[11400000.0, 7500000.0, 3.0]",tt12648266,"[4900000.0, 3300000.0, 1.0]",tt11040844,"[5700000.0, 3100000.0, 1.0]",tt1637688,"[5400000.0, 3000000.0, 3.0]",tt1722514,"[4500000.0, 2700000.0, 1.0]"
2023-10-01,tt15789472,"[43200000.0, 23800000.0, 1.0]",tt26596953,"[27800000.0, 11900000.0, 1.0]",tt16427938,"[14100000.0, 8500000.0, 1.0]",tt15748830,"[14800000.0, 6400000.0, 2.0]",tt27045321,"[6600000.0, 4000000.0, 1.0]",tt28840429,"[3000000.0, 2100000.0, 1.0]",tt26234970,"[3900000.0, 1700000.0, 1.0]",tt23049270,"[2600000.0, 1400000.0, 1.0]",tt27727074,"[2100000.0, 1300000.0, 3.0]",tt15944018,"[2200000.0, 1200000.0, 3.0]"
2023-10-01,tt7767422,"[108400000.0, 13400000.0, 2.0]",tt26445771,"[12800000.0, 5500000.0, 1.0]",tt2620890,"[36200000.0, 5300000.0, 2.0]",tt26340238,"[8000000.0, 4500000.0, 2.0]",tt31308366,"[14900000.0, 4400000.0, 1.0]",tt11737520,"[28400000.0, 3800000.0, 5.0]",tt9077530,"[22600000.0, 3000000.0, 4.0]",tt14833612,"[9800000.0, 2600000.0, 1.0]",tt7767422,"[12800000.0, 1900000.0, 4.0]",tt0374463,"[15300000.0, 1700000.0, 2.0]"
2023-10-01,tt20863760,"[25600000.0, 5300000.0, 4.0]",tt21627436,"[22700000.0, 2600000.0, 2.0]",tt27995115,"[10000000.0, 2300000.0, 1.0]",tt22073352,"[14300000.0, 2200000.0, 4.0]",tt9058134,"[9700000.0, 1900000.0, 2.0]",tt27787857,"[8100000.0, 1800000.0, 3.0]",tt27974068,"[20200000.0, 1500000.0, 6.0]",tt21627438,"[11900000.0, 1000000.0, 4.0]",tt26314390,"[15700000.0, 900000.0, 4.0]",tt0108727,"[5200000.0, 800000.0, 3.0]"
2023-09-24,tt2183014,"[23000000.0, 15200000.0, 2.0]",tt13978520,"[11000000.0, 6700000.0, 1.0]",tt1637688,"[10400000.0, 5700000.0, 2.0]",tt24083908,"[11600000.0, 5600000.0, 1.0]",tt2850386,"[8700000.0, 5500000.0, 1.0]",tt0993846,"[9700000.0, 3200000.0, 1.0]",tt11686490,"[4000000.0, 2900000.0, 1.0]",tt8364368,"[4200000.0, 2900000.0, 1.0]",tt4824302,"[5100000.0, 2600000.0, 2.0]",tt21276878,"[4300000.0, 2500000.0, 5.0]"
2023-09-24,tt15748830,"[18800000.0, 8100000.0, 1.0]",tt27727074,"[6000000.0, 3800000.0, 2.0]",tt15944018,"[6300000.0, 3500000.0, 2.0]",tt28687398,"[2700000.0, 2000000.0, 3.0]",tt28366647,"[2600000.0, 1800000.0, 2.0]",tt21113540,"[2600000.0, 1400000.0, 2.0]",tt28765467,"[1900000.0, 1100000.0, 1.0]",,,tt8499724,"[2300000.0, 900000.0, 2.0]",tt14542504,"[1300000.0, 800000.0, 4.0]"
2023-09-24,tt7767422,"[97600000.0, 12000000.0, 1.0]",tt26340238,"[13600000.0, 7600000.0, 1.0]",tt11737520,"[46600000.0, 6200000.0, 4.0]",tt9077530,"[37700000.0, 4900000.0, 3.0]",,,tt13925166,"[12800000.0, 3400000.0, 2.0]",tt2620890,"[11900000.0, 3000000.0, 1.0]",,,tt0374463,"[21500000.0, 2400000.0, 1.0]",tt26340238,"[5700000.0, 2400000.0, 3.0]"
